name,course,department,overall,workload,number
Social Inequality,SOCIOL 1024,Sociology,3.3,3.2,26
Introduction to Theoretical Computer Science,COMPSCI 121,Computer Science,3.3,11.8,191
Introduction to Psychological Science,PSY 1,Psychology,4.2,1.8,159
The Chemistry and Biology of Therapeutics,CHEM 110,Chemistry & Chemical Biology,4,3.2,29
"Poverty, Race, and Health",AFRAMER 197,African & African Amer Studies,4.5,2.6,83
Qualitative and Quantitative Analysis of the Biological Literature,BBS 230,Medical Sciences,3,9.7,44
International Trade and Investment,ECON 1535,Economics,4.1,5.2,27
Beginning French I: Cross-Cultural Encounters in French,FRENCH 10 003,Romance Languages & Lit,4.1,4.2,38
Government and Politics of Modern Japan,GOV 1270,Government,4.6,3.3,34
American Government: A New Perspective,GOV 30,Government,4,3.7,69
The Essay: History and Practice,ENGLISH 185E,English,4.3,3.7,36
Data Science 1: Introduction to Data Science,STAT 121A,Statistics,3.9,14.9,87
Vector Calculus and Linear Algebra I,MATH 22A,Mathematics,3.3,7.7,49
Topics in Machine Learning: Batch Reinforcement Learning,COMPSCI 282R,Computer Science,4.6,11.2,26
Infectious Diseases and Social Injustice,GENED 1129,General Education,4,3,51
Introduction to Contemporary Art,HAA 17K,History of Art & Architecture,2.6,2.8,60
Introduction to Electronic and Photonic Devices,ENG-SCI 173,Engineering Sciences,4.6,4.6,30
Science and Cooking: From Haute Cuisine to Soft Matter Science,GENED 1104,General Education,3.6,4.5,131
Economics and Computation,COMPSCI 136,Computer Science,4.6,11,55
Quantum Mechanics I,PHYSICS 143A,Physics,3.8,7.1,47
Equity and Excellence in K12 American Schools,GENED 1076 001,General Education,4.6,5.1,132
Introduction to Social Studies,SOC-STD 10A,Social Studies,4.3,7.3,120
Introductory Mechanics and Relativity,PHYSICS 15A,Physics,4.2,7.6,61
The British Empire,HIST 1024,History,4.5,3.7,61
American Economic Policy,ECON 1420,Economics,4.1,4.4,99
Intermediate Microeconomics: Advanced,ECON 1011A,Economics,3.8,9.9,72
Data Science Capstone Research Project Course,APCOMP 297R,Applied Computation,4,10.2,28
Advanced Scientific Computing: Numerical Methods,APMTH 205,Applied Mathematics,4.6,13.1,47
Medical Ethics and History,GENED 1116,General Education,4,4.5,244
Cognitive Neuroscience,PSY 14,Psychology,3.8,5.2,32
Science Fiction,ENGLISH 182,English,4.1,6.5,51
The Climate-Energy Challenge,GENED 1094,General Education,3.7,3.3,68
Anime as Global Popular Culture,GENED 1042,General Education,3.9,3.1,39
"Electromagnetism and Quantum Physics from an Analytic, Numerical and Experimental Perspective",PHYSCI 12B,Physics,3.4,7.6,68
High and Low in Postwar America,ENGLISH 170A,English,4.7,4.5,44
"Analysis of Function Spaces, Measure and Integration",MATH 114,Mathematics,4.3,9.9,33
Introduction to Econometrics,ECON 1123,Economics,3.1,6.1,120
Topological Spaces and Fundamental Group,MATH 131,Mathematics,4.6,9,41
Quantitative Research Methods in Population Health Sciences I,PHS 2000A,Population Health Sciences,3.6,9.3,28
"German Empires, 1848-1948",HIST 1265,History,4.4,4.8,28
Migrations: Castaways and Renegades,ENGLISH 62,English,4.2,2.6,26
Multivariable Calculus,MATH 21A,Mathematics,3.7,8.2,317
Design and Analysis of Sample Surveys,STAT 160,Statistics,2.6,6.6,38
Computer Networks,COMPSCI 143,Computer Science,3.3,4.3,30
Mathematical Biology-Evolutionary Dynamics,MATH 153,Mathematics,4.4,5,44
"Physics as a Foundation for Science and Engineering, Part I",APPHY 50A,Applied Physics,4.2,4.8,60
The Ancient Greek Hero,GENED 1074,General Education,4.2,2.6,550
Linear Models,STAT 139,Statistics,3.1,11.3,105
The Quantum World,CHEM 160,Chemistry & Chemical Biology,2.6,2.9,46
Survey Research Methods,GOV 1010,Government,4.2,2.5,38
American Public Opinion,GOV 1360,Government,3.4,3,50
Physiological Systems Analysis,BE 110,Biomedical Engineering,3,10.9,33
What Game Theory Reveals About Social Behavior,HEB 1392,Human Evolutionary Biology,4.5,3.2,27
The Politics of American Education,GOV 1368,Government,3.7,4.4,35
Cellular Biology and Molecular Medicine,MCB 60,Molecular & Cellular Biology,3.8,9.1,80
Fundamentals of Logic,PHIL 140,Philosophy,3.5,6.1,30
